Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5658623,FGFRL1 modulation of FGFR1 signaling,3,14,9.12E-04,0.015215752,0.518614855,2,2,1.38E-04,9606,Homo sapiens,SPRED2;FGF18;FGFRL1,,R-HSA-5654510;R-HSA-5654511
R-HSA-9013973,TICAM1-dependent activation of IRF3/IRF7,3,14,9.12E-04,0.015215752,0.518614855,7,9,6.21E-04,9606,Homo sapiens,UBC;TSKU,,R-HSA-9013992;R-HSA-9013979;R-HSA-9013978;R-HSA-9013985;R-HSA-9013986;R-HSA-9013990;R-HSA-9013974
R-HSA-5654706,FRS-mediated FGFR3 signaling,4,27,0.001758156,0.018055561,0.518614855,9,9,6.21E-04,9606,Homo sapiens,FGF18;FGFR3;FRS3,,R-HSA-5654631;R-HSA-5654628;R-HSA-8941628;R-HSA-5654416;R-HSA-5654623;R-HSA-5654413;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409
R-HSA-9031628,NGF-stimulated transcription,6,56,0.003646546,0.018062579,0.518614855,9,37,0.002554896,9606,Homo sapiens,ARC;NAB1;FOS;TRIB1,,R-HSA-9613202;R-HSA-9031624;R-HSA-9031610;R-HSA-9612516;R-HSA-9621386;R-HSA-9031616;R-HSA-9621385;R-HSA-9619838;R-HSA-9031575
R-HSA-9768919,NPAS4 regulates expression of target genes,5,41,0.002669792,0.018313764,0.518614855,35,36,0.002485844,9606,Homo sapiens,RET;DYSF;FOS,,R-HSA-9769044;R-HSA-9634897;R-HSA-9769302;R-HSA-9769235;R-HSA-9769042;R-HSA-9768925;R-HSA-9769177;R-HSA-9634846;R-HSA-9770072;R-HSA-9769115;R-HSA-9769307;R-HSA-9634886;R-HSA-9634884;R-HSA-9769165;R-HSA-9644879;R-HSA-9769419;R-HSA-9769418;R-HSA-9638156;R-HSA-9769141;R-HSA-9769143;R-HSA-9768950;R-HSA-9769014;R-HSA-9768945;R-HSA-9634934;R-HSA-9769011;R-HSA-9634850;R-HSA-9769316;R-HSA-9769249;R-HSA-9634916;R-HSA-9644900;R-HSA-9768930;R-HSA-9768937;R-HSA-9634861;R-HSA-9768939;R-HSA-9769323
R-HSA-170834,Signaling by TGF-beta Receptor Complex,9,108,0.007032624,0.019377989,0.518614855,81,100,0.006905124,9606,Homo sapiens,TGIF1;NCOR2;SMAD2;UBC;LTBP4;PRKCZ;SMAD7,,R-HSA-2186785;R-HSA-178178;R-HSA-2176417;R-HSA-2176416;R-HSA-2160931;R-HSA-9730967;R-HSA-2160932;R-HSA-2187303;R-HSA-2160935;R-HSA-870538;R-HSA-9736979;R-HSA-9736984;R-HSA-2187309;R-HSA-178189;R-HSA-9736966;R-HSA-209055;R-HSA-2176445;R-HSA-2187325;R-HSA-9736970;R-HSA-178208;R-HSA-2187395;R-HSA-2134532;R-HSA-178215;R-HSA-870437;R-HSA-178218;R-HSA-2187401;R-HSA-173483;R-HSA-173481;R-HSA-2187405;R-HSA-2186767;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-9731111;R-HSA-9736992;R-HSA-2127257;R-HSA-870449;R-HSA-2187293;R-HSA-2186780;R-HSA-2395364;R-HSA-2328033;R-HSA-2128994;R-HSA-9733203;R-HSA-2187368;R-HSA-173512;R-HSA-2134506;R-HSA-2176491;R-HSA-2167917;R-HSA-2186607;R-HSA-170835;R-HSA-2186741;R-HSA-2167924;R-HSA-1484099;R-HSA-2176503;R-HSA-2176502;R-HSA-2187382;R-HSA-2134519;R-HSA-2186747;R-HSA-2187388;R-HSA-170847;R-HSA-170850;R-HSA-2187330;R-HSA-173542;R-HSA-2176452;R-HSA-2167876;R-HSA-2031355;R-HSA-9736959;R-HSA-2179274;R-HSA-173545;R-HSA-2179276;R-HSA-2106579;R-HSA-170868;R-HSA-2169046;R-HSA-2179291;R-HSA-2106586;R-HSA-2176475;R-HSA-2187355;R-HSA-2169050;R-HSA-2179293;R-HSA-2106591;R-HSA-2187358
R-HSA-2122947,NOTCH1 Intracellular Domain Regulates Transcription,6,57,0.003711662,0.019497897,0.518614855,14,18,0.001242922,9606,Homo sapiens,NCOR2;TLE3;HDAC11;UBC;RBPJ,,R-HSA-4396371;R-HSA-1980078;R-HSA-1980047;R-HSA-1852623;R-HSA-1912393;R-HSA-1912394;R-HSA-4396347;R-HSA-4396379;R-HSA-1912388;R-HSA-1912359;R-HSA-1912391;R-HSA-1980067;R-HSA-4396382;R-HSA-1980065
R-HSA-2173788,Downregulation of TGF-beta receptor signaling,4,28,0.001823273,0.020306047,0.518614855,26,28,0.001933435,9606,Homo sapiens,SMAD2;UBC;SMAD7,,R-HSA-178178;R-HSA-2176417;R-HSA-2176416;R-HSA-2128994;R-HSA-2187368;R-HSA-173512;R-HSA-2167917;R-HSA-178189;R-HSA-2167924;R-HSA-2187382;R-HSA-2176445;R-HSA-178208;R-HSA-173542;R-HSA-2176452;R-HSA-2167876;R-HSA-178215;R-HSA-178218;R-HSA-2187401;R-HSA-173483;R-HSA-2187405;R-HSA-2169046;R-HSA-2179291;R-HSA-2187355;R-HSA-2169050;R-HSA-2179293;R-HSA-2187358
R-HSA-8941333,RUNX2 regulates genes involved in differentiation of myeloid cells,2,6,3.91E-04,0.020756241,0.518614855,2,2,1.38E-04,9606,Homo sapiens,LGALS3,,R-HSA-8938382;R-HSA-8938371
R-HSA-4655427,SUMOylation of DNA methylation proteins,3,16,0.00104187,0.021540522,0.518614855,1,3,2.07E-04,9606,Homo sapiens,CBX8;CBX4;SCMH1,,R-HSA-4655440
R-HSA-2173796,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,5,44,0.002865143,0.023898319,0.518614855,20,24,0.00165723,9606,Homo sapiens,TGIF1;SMAD2;UBC;SMAD7,,R-HSA-2186785;R-HSA-2031355;R-HSA-2187303;R-HSA-9736979;R-HSA-9733203;R-HSA-9736959;R-HSA-9736984;R-HSA-2187309;R-HSA-2186771;R-HSA-173488;R-HSA-2186643;R-HSA-2106579;R-HSA-9736992;R-HSA-1484099;R-HSA-2127257;R-HSA-2106586;R-HSA-2176475;R-HSA-2187293;R-HSA-2186780;R-HSA-170847
R-HSA-3899300,SUMOylation of transcription cofactors,5,44,0.002865143,0.023898319,0.518614855,6,27,0.001864383,9606,Homo sapiens,NCOR2;CBX8;CBX4;SCMH1;PPARGC1A,,R-HSA-3903017;R-HSA-3108203;R-HSA-3927886;R-HSA-3927824;R-HSA-3296126;R-HSA-3108209
R-HSA-9634815,Transcriptional Regulation by NPAS4,6,60,0.003907013,0.024264759,0.518614855,37,47,0.003245408,9606,Homo sapiens,RET;AGO2;DYSF;FOS,,R-HSA-9768788;R-HSA-9769044;R-HSA-9634897;R-HSA-9769302;R-HSA-9769235;R-HSA-9769042;R-HSA-9768925;R-HSA-9769177;R-HSA-9634846;R-HSA-9770072;R-HSA-9769115;R-HSA-9769307;R-HSA-9634886;R-HSA-9634884;R-HSA-9769165;R-HSA-9768782;R-HSA-9644879;R-HSA-9769419;R-HSA-9769418;R-HSA-9638156;R-HSA-9769141;R-HSA-9769143;R-HSA-9768950;R-HSA-9769014;R-HSA-9768945;R-HSA-9634934;R-HSA-9769011;R-HSA-9634850;R-HSA-9769316;R-HSA-9769249;R-HSA-9634916;R-HSA-9644900;R-HSA-9768930;R-HSA-9768937;R-HSA-9634861;R-HSA-9768939;R-HSA-9769323
R-HSA-8856825,Cargo recognition for clathrin-mediated endocytosis,9,115,0.007488442,0.027455907,0.518614855,10,15,0.001035769,9606,Homo sapiens,VAMP8;STN1;FZD4;UBC;EPS15L1;LDLR;VAMP3,,R-HSA-8863463;R-HSA-8866279;R-HSA-8863472;R-HSA-8863727;R-HSA-8863471;R-HSA-8866269;R-HSA-8867613;R-HSA-8863723;R-HSA-8866283;R-HSA-8863721
R-HSA-9706377,FLT3 signaling by CBL mutants,2,7,4.56E-04,0.027587423,0.518614855,1,1,6.91E-05,9606,Homo sapiens,UBC,,R-HSA-9706356
R-HSA-5218921,VEGFR2 mediated cell proliferation,4,31,0.002018623,0.028058036,0.518614855,10,12,8.29E-04,9606,Homo sapiens,SPHK1;ITPR3;PRKCZ;VEGFA,,R-HSA-169683;R-HSA-5218845;R-HSA-169680;R-HSA-5218813;R-HSA-5218823;R-HSA-4420202;R-HSA-4420121;R-HSA-4420153;R-HSA-5218805;R-HSA-5218821
R-HSA-5654227,Phospholipase C-mediated cascade; FGFR3,3,18,0.001172104,0.0290933,0.518614855,3,3,2.07E-04,9606,Homo sapiens,FGF18;FGFR3,,R-HSA-5654148;R-HSA-5654224;R-HSA-5654222
R-HSA-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,3,18,0.001172104,0.0290933,0.518614855,7,8,5.52E-04,9606,Homo sapiens,TNIP2;UBC,,R-HSA-5684261;R-HSA-451634;R-HSA-5684275;R-HSA-5684273;R-HSA-5684250;R-HSA-5684267;R-HSA-5684248
R-HSA-198725,Nuclear Events (kinase and transcription factor activation),7,80,0.005209351,0.02937589,0.518614855,10,48,0.003314459,9606,Homo sapiens,MEF2A;ARC;NAB1;FOS;TRIB1,,R-HSA-9613202;R-HSA-9031624;R-HSA-9031610;R-HSA-9612516;R-HSA-9621386;R-HSA-9031616;R-HSA-199929;R-HSA-9621385;R-HSA-9619838;R-HSA-9031575
R-HSA-9012852,Signaling by NOTCH3,6,63,0.004102364,0.029754055,0.518614855,23,37,0.002554896,9606,Homo sapiens,PLXND1;UBC;TACC3;RBPJ,,R-HSA-9021480;R-HSA-9021451;R-HSA-9021450;R-HSA-9018538;R-HSA-9013069;R-HSA-9021325;R-HSA-9016751;R-HSA-9018542;R-HSA-9013568;R-HSA-9021412;R-HSA-9021478;R-HSA-9016861;R-HSA-9014141;R-HSA-9017855;R-HSA-9013567;R-HSA-9013631;R-HSA-9021406;R-HSA-9014129;R-HSA-9013488;R-HSA-9021523;R-HSA-9016916;R-HSA-9013652;R-HSA-9017398
R-HSA-4086398,Ca2+ pathway,7,81,0.005274468,0.031094636,0.518614855,12,27,0.001864383,9606,Homo sapiens,WNT11;GNGT2;PDE6G;FZD4;AGO2;ITPR3;PDE6B,,R-HSA-169680;R-HSA-4086392;R-HSA-4086393;R-HSA-398193;R-HSA-4420052;R-HSA-3965444;R-HSA-3965446;R-HSA-4518575;R-HSA-3965447;R-HSA-3965441;R-HSA-4518585;R-HSA-398040
R-HSA-5654736,Signaling by FGFR1,6,64,0.004167481,0.031750537,0.518614855,12,48,0.003314459,9606,Homo sapiens,SPRED2;FGF18;UBC;FRS3;FGFRL1,,R-HSA-934604;R-HSA-5654578;R-HSA-5654672;R-HSA-1295621;R-HSA-5654510;R-HSA-5654511;R-HSA-5654586;R-HSA-5654587;R-HSA-5654571;R-HSA-5654584;R-HSA-5654392;R-HSA-8941623
R-HSA-2173791,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),3,19,0.001237221,0.03332812,0.518614855,6,6,4.14E-04,9606,Homo sapiens,UBC;PRKCZ,,R-HSA-2160931;R-HSA-2160932;R-HSA-2134532;R-HSA-2160935;R-HSA-2134519;R-HSA-2134506
R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",3,19,0.001237221,0.03332812,0.518614855,3,3,2.07E-04,9606,Homo sapiens,UBC;TSKU,,R-HSA-168930;R-HSA-9014343;R-HSA-9014342
R-HSA-418885,DCC mediated attractive signaling,3,19,0.001237221,0.03332812,0.518614855,10,12,8.29E-04,9606,Homo sapiens,ABLIM2;FYN;PTK2,,R-HSA-373716;R-HSA-418868;R-HSA-418850;R-HSA-418865;R-HSA-374701;R-HSA-418874;R-HSA-418858;R-HSA-373720;R-HSA-418856;R-HSA-418872
R-HSA-110312,Translesion synthesis by REV1,3,19,0.001237221,0.03332812,0.518614855,4,5,3.45E-04,9606,Homo sapiens,UBC;REV1,,R-HSA-5652151;R-HSA-110307;R-HSA-110308;R-HSA-110311
R-HSA-190239,FGFR3 ligand binding and activation,3,19,0.001237221,0.03332812,0.518614855,4,6,4.14E-04,9606,Homo sapiens,FGF18;FGFR3,,R-HSA-190385;R-HSA-190263;R-HSA-190388;R-HSA-190261
R-HSA-5655332,Signaling by FGFR3 in disease,4,33,0.002148857,0.034080018,0.518614855,21,21,0.001450076,9606,Homo sapiens,FGF18;FGFR3,,R-HSA-8853317;R-HSA-5655285;R-HSA-5655315;R-HSA-5655262;R-HSA-5655295;R-HSA-2012084;R-HSA-2012082;R-HSA-2038387;R-HSA-2038386;R-HSA-5655289;R-HSA-5655270;R-HSA-2033485;R-HSA-2077420;R-HSA-2012074;R-HSA-2012073;R-HSA-5655247;R-HSA-8853309;R-HSA-5655244;R-HSA-5655277;R-HSA-2033476;R-HSA-5655243
R-HSA-194313,VEGF ligand-receptor interactions,2,8,5.21E-04,0.03518815,0.518614855,3,4,2.76E-04,9606,Homo sapiens,VEGFA,,R-HSA-195378;R-HSA-194310;R-HSA-194311
R-HSA-195399,VEGF binds to VEGFR leading to receptor dimerization,2,8,5.21E-04,0.03518815,0.518614855,2,3,2.07E-04,9606,Homo sapiens,VEGFA,,R-HSA-194310;R-HSA-194311
R-HSA-9683683,Maturation of protein E,2,8,5.21E-04,0.03518815,0.518614855,1,5,3.45E-04,9606,Homo sapiens,UBC,,R-HSA-9683679
R-HSA-9694493,Maturation of protein E,2,8,5.21E-04,0.03518815,0.518614855,1,5,3.45E-04,9606,Homo sapiens,UBC,,R-HSA-9694529
R-HSA-9656223,Signaling by RAF1 mutants,5,49,0.003190727,0.035435842,0.518614855,5,7,4.83E-04,9606,Homo sapiens,CAMK2B;ITGA2B;KSR2;CAMK2G,,R-HSA-9656211;R-HSA-9656209;R-HSA-9656215;R-HSA-9656214;R-HSA-9656212
R-HSA-5602410,TLR3 deficiency - HSE,1,1,6.51E-05,0.035872529,0.518614855,1,1,6.91E-05,9606,Homo sapiens,TSKU,,R-HSA-5602549
R-HSA-5656121,Translesion synthesis by POLI,3,20,0.001302338,0.037865003,0.518614855,3,3,2.07E-04,9606,Homo sapiens,UBC;REV1,,R-HSA-5656148;R-HSA-5656158;R-HSA-5656105
R-HSA-5654708,Downstream signaling of activated FGFR3,4,35,0.002279091,0.040796396,0.518614855,22,23,0.001588178,9606,Homo sapiens,FGF18;FGFR3;FRS3,,R-HSA-5654646;R-HSA-5654647;R-HSA-5654709;R-HSA-5654643;R-HSA-5654640;R-HSA-5654416;R-HSA-5654224;R-HSA-5654641;R-HSA-5654705;R-HSA-5654623;R-HSA-5654631;R-HSA-5654628;R-HSA-5654148;R-HSA-8941628;R-HSA-5654625;R-HSA-5654222;R-HSA-5654637;R-HSA-5654413;R-HSA-5654634;R-HSA-5654408;R-HSA-5654633;R-HSA-5654409
R-HSA-2173789,TGF-beta receptor signaling activates SMADs,5,51,0.003320961,0.040865558,0.518614855,32,44,0.003038254,9606,Homo sapiens,SMAD2;UBC;LTBP4;SMAD7,,R-HSA-2395364;R-HSA-178178;R-HSA-2176417;R-HSA-2176416;R-HSA-2328033;R-HSA-2128994;R-HSA-2187368;R-HSA-173512;R-HSA-2167917;R-HSA-178189;R-HSA-170835;R-HSA-2167924;R-HSA-2187382;R-HSA-2176445;R-HSA-170847;R-HSA-170850;R-HSA-178208;R-HSA-173542;R-HSA-2176452;R-HSA-2167876;R-HSA-178215;R-HSA-178218;R-HSA-2187401;R-HSA-173483;R-HSA-2187405;R-HSA-170868;R-HSA-2169046;R-HSA-2179291;R-HSA-2187355;R-HSA-2169050;R-HSA-2179293;R-HSA-2187358
R-HSA-5655862,Translesion synthesis by POLK,3,21,0.001367455,0.042699964,0.518614855,3,3,2.07E-04,9606,Homo sapiens,UBC;REV1,,R-HSA-5655892;R-HSA-5655965;R-HSA-5655835
R-HSA-1483148,Synthesis of PG,3,21,0.001367455,0.042699964,0.518614855,2,5,3.45E-04,9606,Homo sapiens,PGS1;PLD1,,R-HSA-1483142;R-HSA-1482939
R-HSA-8964011,HDL clearance,2,9,5.86E-04,0.043494624,0.518614855,4,5,3.45E-04,9606,Homo sapiens,SCARB1;AMN,,R-HSA-349637;R-HSA-349638;R-HSA-264848;R-HSA-264834
R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,3,22,0.001432571,0.047828087,0.518614855,2,8,5.52E-04,9606,Homo sapiens,UBC;PRICKLE4,,R-HSA-5205661;R-HSA-5205682
R-HSA-3229121,Glycogen storage diseases,3,22,0.001432571,0.047828087,0.518614855,2,10,6.91E-04,9606,Homo sapiens,G6PC3;UBC,,R-HSA-3797226;R-HSA-3282876
R-HSA-373755,Semaphorin interactions,6,71,0.004623299,0.048165617,0.518614855,22,41,0.002831101,9606,Homo sapiens,HSP90AB1;PLXND1;MYH14;FYN;MYL12B;RHOB,,R-HSA-399942;R-HSA-399941;R-HSA-399939;R-HSA-419087;R-HSA-399951;R-HSA-416588;R-HSA-399946;R-HSA-416683;R-HSA-399947;R-HSA-399944;R-HSA-419049;R-HSA-416690;R-HSA-399952;R-HSA-399934;R-HSA-399935;R-HSA-419644;R-HSA-419197;R-HSA-419645;R-HSA-399933;R-HSA-399930;R-HSA-399931;R-HSA-399928
